tuh_downstream_smallset_tflayers20, freeze 12
Epoch 1, Train loss 0.7856 , Train Accuracy 0.5367, Test loss 0.8218, Test Accuracy 0.5485
Epoch 2, Train loss 0.7073 , Train Accuracy 0.5721, Test loss 0.7954, Test Accuracy 0.5453
Epoch 3, Train loss 0.6742 , Train Accuracy 0.6080, Test loss 1.0450, Test Accuracy 0.5395
Epoch 4, Train loss 0.6651 , Train Accuracy 0.6220, Test loss 0.8201, Test Accuracy 0.5732
Epoch 5, Train loss 0.6324 , Train Accuracy 0.6413, Test loss 1.0129, Test Accuracy 0.4926
Epoch 6, Train loss 0.6218 , Train Accuracy 0.6643, Test loss 0.8248, Test Accuracy 0.5379
Epoch 7, Train loss 0.6174 , Train Accuracy 0.6568, Test loss 0.9207, Test Accuracy 0.5174
Epoch 8, Train loss 0.5955 , Train Accuracy 0.6681, Test loss 0.8227, Test Accuracy 0.5606
Epoch 9, Train loss 0.6014 , Train Accuracy 0.6767, Test loss 0.8334, Test Accuracy 0.5632
Epoch 10, Train loss 0.5823 , Train Accuracy 0.6890, Test loss 0.8868, Test Accuracy 0.5490
Epoch 11, Train loss 0.5787 , Train Accuracy 0.6987, Test loss 0.9077, Test Accuracy 0.5490
Epoch 12, Train loss 0.5703 , Train Accuracy 0.6901, Test loss 0.8534, Test Accuracy 0.5911
Epoch 13, Train loss 0.5610 , Train Accuracy 0.7099, Test loss 0.8599, Test Accuracy 0.5701
Epoch 14, Train loss 0.5403 , Train Accuracy 0.7201, Test loss 0.9157, Test Accuracy 0.5817
Epoch 15, Train loss 0.5433 , Train Accuracy 0.7223, Test loss 1.0007, Test Accuracy 0.5385
Epoch 16, Train loss 0.5321 , Train Accuracy 0.7255, Test loss 0.9019, Test Accuracy 0.5753
Epoch 17, Train loss 0.5264 , Train Accuracy 0.7265, Test loss 0.9016, Test Accuracy 0.5848
Epoch 18, Train loss 0.5189 , Train Accuracy 0.7271, Test loss 0.9006, Test Accuracy 0.5901
Epoch 19, Train loss 0.5060 , Train Accuracy 0.7560, Test loss 0.9100, Test Accuracy 0.5875
Epoch 20, Train loss 0.5122 , Train Accuracy 0.7453, Test loss 0.9376, Test Accuracy 0.5917
Epoch 21, Train loss 0.4992 , Train Accuracy 0.7357, Test loss 0.9386, Test Accuracy 0.5927
Epoch 22, Train loss 0.4911 , Train Accuracy 0.7571, Test loss 0.9365, Test Accuracy 0.5938
Epoch 23, Train loss 0.4774 , Train Accuracy 0.7619, Test loss 0.9659, Test Accuracy 0.5938
Epoch 24, Train loss 0.4752 , Train Accuracy 0.7678, Test loss 0.9831, Test Accuracy 0.5854
Epoch 25, Train loss 0.4787 , Train Accuracy 0.7619, Test loss 0.9874, Test Accuracy 0.5917
Epoch 26, Train loss 0.4700 , Train Accuracy 0.7673, Test loss 0.9867, Test Accuracy 0.6027
Epoch 27, Train loss 0.4747 , Train Accuracy 0.7684, Test loss 0.9841, Test Accuracy 0.5969
Epoch 28, Train loss 0.4751 , Train Accuracy 0.7721, Test loss 1.0247, Test Accuracy 0.5901
Epoch 29, Train loss 0.4765 , Train Accuracy 0.7641, Test loss 1.0141, Test Accuracy 0.5948
Epoch 30, Train loss 0.4483 , Train Accuracy 0.7818, Test loss 1.0223, Test Accuracy 0.5933
Epoch 31, Train loss 0.4647 , Train Accuracy 0.7732, Test loss 1.1487, Test Accuracy 0.5685
Epoch 32, Train loss 0.4462 , Train Accuracy 0.7877, Test loss 1.0355, Test Accuracy 0.5890
Epoch 33, Train loss 0.4390 , Train Accuracy 0.7925, Test loss 1.1037, Test Accuracy 0.5885
Epoch 34, Train loss 0.4497 , Train Accuracy 0.7828, Test loss 1.0535, Test Accuracy 0.6048
Epoch 35, Train loss 0.4465 , Train Accuracy 0.7807, Test loss 1.2065, Test Accuracy 0.5769
Epoch 36, Train loss 0.4498 , Train Accuracy 0.7850, Test loss 1.0583, Test Accuracy 0.6022
Epoch 37, Train loss 0.4442 , Train Accuracy 0.7909, Test loss 1.1264, Test Accuracy 0.5917
Epoch 38, Train loss 0.4411 , Train Accuracy 0.7850, Test loss 1.1494, Test Accuracy 0.5817
Epoch 39, Train loss 0.4381 , Train Accuracy 0.7930, Test loss 1.1650, Test Accuracy 0.5843
Epoch 40, Train loss 0.4363 , Train Accuracy 0.7979, Test loss 1.0885, Test Accuracy 0.6064
Epoch 41, Train loss 0.4250 , Train Accuracy 0.8005, Test loss 1.1000, Test Accuracy 0.6054
Epoch 42, Train loss 0.4191 , Train Accuracy 0.7952, Test loss 1.0968, Test Accuracy 0.5943
Epoch 43, Train loss 0.4256 , Train Accuracy 0.7962, Test loss 1.1115, Test Accuracy 0.6001
Epoch 44, Train loss 0.4120 , Train Accuracy 0.8129, Test loss 1.1946, Test Accuracy 0.5927
Epoch 45, Train loss 0.4297 , Train Accuracy 0.8000, Test loss 1.1255, Test Accuracy 0.6048
Epoch 46, Train loss 0.4115 , Train Accuracy 0.8086, Test loss 1.2269, Test Accuracy 0.5806
Epoch 47, Train loss 0.4071 , Train Accuracy 0.8080, Test loss 1.1893, Test Accuracy 0.5827
Epoch 48, Train loss 0.4080 , Train Accuracy 0.8016, Test loss 1.1543, Test Accuracy 0.5991
Epoch 49, Train loss 0.4086 , Train Accuracy 0.8123, Test loss 1.2214, Test Accuracy 0.5869
Epoch 50, Train loss 0.4113 , Train Accuracy 0.8080, Test loss 1.1828, Test Accuracy 0.6054
